,RunId,repositioning,seed,delivery_mode,Fulfilled demand,Car overdue,Drone overdue,Total overdue,Drone fast Deliveries,Drone safe Deliveries,Total drone deliveries,Car fast Deliveries,Car safe Deliveries,Total Car deliveries,Total deliveries,Directly performed,Average deliverytime,Average drone delivery time,Average drone fast delivery time,Average drone safe delivery time,Average car delivery time,Average car fast delivery time,Average car safe delivery time,Drone variable cost,Car variable cost,Fixed configuration cost,Labour costs,Drone risk,Drone emissions,Total costs,Total risk,Emissions,Fast deliveries,Medium deliveries,Late deliveries,Drone Idle time,Drone safe flying empty time,Drone fast flying empty time,Drone safe flying filled time,Drone fast flying filled time,Car fast driving filled time,Num drones,Repositionings,Non idle vehicle chosen,Day of week,Percentage overdue
0,0,True,0,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,7,0.1111111111111111
1,1,True,2,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,7,0.1111111111111111
2,2,True,1,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,15,2,0.1111111111111111
3,3,True,4,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,2,0.12345679012345678
4,4,True,3,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,17,2,0.1111111111111111
5,5,True,5,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,5,0.1111111111111111
6,6,True,6,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,7,0.12345679012345678
7,7,True,7,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,15,3,0.1111111111111111
8,8,True,8,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,2,0.12345679012345678
9,9,True,9,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,4,0.12345679012345678
10,10,True,10,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,5,0.12345679012345678
11,11,True,11,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,19,4,0.1111111111111111
12,12,True,13,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,17,3,0.1111111111111111
13,13,True,12,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,4,0.1111111111111111
14,14,True,14,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,1,0.1111111111111111
15,15,True,15,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,19,2,0.1111111111111111
16,16,True,16,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,15,3,0.1111111111111111
17,17,True,17,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,19,5,0.1111111111111111
18,18,True,19,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,15,6,0.1111111111111111
19,19,True,20,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,18,6,0.1111111111111111
20,20,True,21,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,17,2,0.1111111111111111
21,21,True,22,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,2,0.1111111111111111
22,22,True,18,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,18,2,0.12345679012345678
23,23,True,23,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,17,7,0.1111111111111111
24,24,True,24,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,14,6,0.1111111111111111
25,25,True,26,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,18,6,0.12345679012345678
26,26,True,25,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,4,0.1111111111111111
27,27,True,27,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,6,0.1111111111111111
28,28,True,28,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,1,0.12345679012345678
29,29,True,30,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,18,5,0.1111111111111111
30,30,True,29,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,5,0.12345679012345678
31,31,True,31,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,1,0.1111111111111111
32,32,True,32,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,15,1,0.1111111111111111
33,33,True,33,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,5,0.12345679012345678
34,34,True,34,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,18,5,0.1111111111111111
35,35,True,35,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,5,0.12345679012345678
36,36,True,36,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,3,0.1111111111111111
37,37,True,37,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,15,6,0.1111111111111111
38,38,True,38,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,16,6,0.1111111111111111
39,39,True,39,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,2,0.12345679012345678
40,40,True,40,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,4,0.1111111111111111
41,41,True,41,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,4,0.1111111111111111
42,42,True,42,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,17,6,0.1111111111111111
43,43,True,43,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,1,0.1111111111111111
44,44,True,44,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,19,4,0.1111111111111111
45,45,True,45,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,18,3,0.1111111111111111
46,46,True,46,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,19,1,0.1111111111111111
47,47,True,47,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,3,0.12345679012345678
48,48,True,48,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,5,0.12345679012345678
49,49,True,49,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,1,0.12345679012345678
50,50,True,51,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,2,0.12345679012345678
51,51,True,50,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,4,0.12345679012345678
52,52,True,52,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,3,0.12345679012345678
53,53,True,53,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,5,0.1111111111111111
54,54,True,55,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.25925925925926,43.25925925925926,44.61702127659574,41.38235294117647,0.0,0.0,0.0,212.6254039231658,0,365000,780000,0.00024878134679977374,34.020064627706525,1145212.6254039232,0.00024878134679977374,34.020064627706525,0,0,0,2103,909,1311,0,0,0,3,0,16,1,0.1111111111111111
55,55,True,54,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,2,0.1111111111111111
56,56,True,56,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,14,7,0.12345679012345678
57,57,True,57,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,1,0.1111111111111111
58,58,True,58,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,5,0.12345679012345678
59,59,True,60,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,3,0.1111111111111111
60,60,True,59,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,2,0.12345679012345678
61,61,True,62,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,5,0.12345679012345678
62,62,True,61,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,4,0.12345679012345678
63,63,True,63,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,17,4,0.1111111111111111
64,64,True,64,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,4,0.12345679012345678
65,65,True,66,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,1,0.12345679012345678
66,66,True,67,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,14,1,0.12345679012345678
67,67,True,65,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,18,4,0.12345679012345678
68,68,True,68,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,18,6,0.1111111111111111
69,69,True,69,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,17,6,0.1111111111111111
